what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1594386078921
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1594386078921
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1594386078921
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1594386078921
java.vm.specification.version,sysinfo,,,"1.6",1594386078921
java.vm.vendor,sysinfo,,,"Oracle Corporation",1594386078921
java.vm.version,sysinfo,,,"24.79-b02",1594386078921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386082434
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1594386094323
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1594386094355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386104750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1594386104771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386107990
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1594386112908
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1594386112979
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1594386113035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386118346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1594386118371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386119306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386127597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386134624
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1594386138099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386158735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1594386158763
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1594386170628
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1594386170632
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1594386170634
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1594386170674
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1594386170705
opened,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594386170742
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1594386170783
